Actual,Predicted,Proba
1,1,0.6134458824235405
0,1,0.5622348646782191
0,0,0.022969420229694205
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.20869774147044715
0,0,0.022969420229694205
0,0,0.20869774147044715
0,0,0.33450278248245896
0,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.6134458824235405
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.06808585724908943
1,0,0.26036314727639476
0,0,0.022969420229694205
0,1,0.7528732713823854
1,1,0.6134458824235405
1,1,0.8356879869851879
0,0,0.08204362385736273
0,0,0.06808585724908943
0,1,0.8582193621022743
0,0,0.06808585724908943
1,1,0.8582193621022743
0,1,0.8582193621022743
1,0,0.26036314727639476
0,0,0.26036314727639476
0,0,0.06808585724908943
0,0,0.022969420229694205
1,1,0.7528732713823854
0,1,0.8356879869851879
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.08204362385736273
0,1,0.5622348646782191
0,0,0.20869774147044715
0,0,0.022969420229694205
0,0,0.20869774147044715
0,0,0.438475014599149
0,0,0.20869774147044715
0,0,0.06808585724908943
1,1,0.7528732713823854
1,1,0.7528732713823854
0,0,0.06808585724908943
0,1,0.7528732713823854
0,0,0.022969420229694205
1,0,0.06808585724908943
0,1,0.6134458824235405
0,1,0.5751859840647967
0,0,0.26036314727639476
0,0,0.08204362385736273
0,0,0.06808585724908943
0,1,0.5751859840647967
0,0,0.26036314727639476
0,0,0.022969420229694205
0,0,0.33450278248245896
0,0,0.06808585724908943
0,0,0.26036314727639476
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.022969420229694205
1,1,0.7528732713823854
0,0,0.022969420229694205
0,0,0.33450278248245896
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.8582193621022743
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.26036314727639476
1,1,0.5759376650818807
0,1,0.8582193621022743
0,0,0.06808585724908943
0,1,0.5751859840647967
0,0,0.11294426660100142
0,0,0.022969420229694205
0,0,0.26036314727639476
0,1,0.6134458824235405
1,1,0.8582193621022743
0,0,0.08204362385736273
1,1,0.7528732713823854
0,0,0.08204362385736273
0,1,0.6134458824235405
0,1,0.7528732713823854
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.5622348646782191
0,0,0.20869774147044715
0,0,0.33450278248245896
0,1,0.5751859840647967
0,1,0.6134458824235405
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.1508903467666354
0,1,0.5751859840647967
0,0,0.26036314727639476
1,1,0.8582193621022743
0,0,0.06808585724908943
1,1,0.7528732713823854
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.08204362385736273
0,0,0.13298872180451102
1,1,0.6134458824235405
1,1,0.8582193621022743
0,1,0.605915855226897
0,0,0.26036314727639476
0,1,0.6134458824235405
0,0,0.06808585724908943
1,1,0.5751859840647967
0,0,0.26036314727639476
0,0,0.11294426660100142
0,1,0.5751859840647967
0,0,0.11294426660100142
1,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.06808585724908943
1,1,0.8582193621022743
0,1,0.5622348646782191
0,0,0.13298872180451102
0,1,0.5622348646782191
0,0,0.11294426660100142
1,1,0.561891014074341
0,0,0.06808585724908943
1,1,0.8582193621022743
0,1,0.5751859840647967
0,0,0.06808585724908943
0,1,0.5751859840647967
0,1,0.7528732713823854
0,0,0.20869774147044715
0,0,0.08204362385736273
0,1,0.7528732713823854
0,0,0.11294426660100142
0,0,0.438475014599149
0,0,0.26036314727639476
0,1,0.5751859840647967
0,0,0.13298872180451102
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.08204362385736273
0,0,0.06808585724908943
0,1,0.7528732713823854
1,1,0.6134458824235405
0,0,0.33450278248245896
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.11294426660100142
0,0,0.26036314727639476
0,1,0.5751859840647967
0,0,0.08204362385736273
1,1,0.8582193621022743
0,0,0.06808585724908943
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.438475014599149
0,0,0.20869774147044715
0,0,0.20869774147044715
1,1,0.8582193621022743
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.5759376650818807
0,1,0.8582193621022743
0,0,0.022969420229694205
0,0,0.20869774147044715
0,0,0.022969420229694205
0,1,0.6134458824235405
0,0,0.13298872180451102
0,0,0.022969420229694205
0,1,0.6134458824235405
0,0,0.26036314727639476
0,1,0.8582193621022743
0,1,0.8356879869851879
0,0,0.11294426660100142
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.08204362385736273
0,1,0.6134458824235405
0,0,0.11294426660100142
0,0,0.022969420229694205
0,0,0.1508903467666354
0,0,0.06808585724908943
0,1,0.7528732713823854
0,0,0.06808585724908943
1,1,0.605915855226897
0,0,0.06808585724908943
1,0,0.438475014599149
0,1,0.5751859840647967
1,1,0.6134458824235405
0,0,0.022969420229694205
0,1,0.8582193621022743
0,1,0.561891014074341
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.08204362385736273
0,1,0.5622348646782191
0,0,0.022969420229694205
0,0,0.26036314727639476
0,1,0.5751859840647967
1,0,0.33450278248245896
1,1,0.7528732713823854
0,1,0.5751859840647967
0,1,0.8356879869851879
0,0,0.08204362385736273
0,0,0.20869774147044715
0,0,0.26036314727639476
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.13298872180451102
0,0,0.08204362385736273
0,0,0.26036314727639476
0,0,0.13298872180451102
0,0,0.022969420229694205
0,1,0.7528732713823854
0,1,0.6134458824235405
0,1,0.5751859840647967
0,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.20869774147044715
0,1,0.7528732713823854
0,1,0.8582193621022743
0,0,0.11294426660100142
0,0,0.06808585724908943
1,1,0.6134458824235405
0,0,0.022969420229694205
0,0,0.20869774147044715
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.5622348646782191
0,1,0.8356879869851879
0,0,0.26036314727639476
0,0,0.06808585724908943
1,1,0.5751859840647967
0,0,0.33450278248245896
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.7528732713823854
1,1,0.5622348646782191
1,0,0.11294426660100142
1,1,0.8356879869851879
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.1508903467666354
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.11294426660100142
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.26036314727639476
0,0,0.06808585724908943
0,0,0.438475014599149
0,0,0.06808585724908943
0,0,0.20869774147044715
1,1,0.8582193621022743
0,0,0.022969420229694205
0,1,0.6134458824235405
0,0,0.022969420229694205
0,1,0.5622348646782191
0,1,0.7528732713823854
0,1,0.6134458824235405
0,0,0.022969420229694205
0,1,0.7528732713823854
0,0,0.26036314727639476
0,0,0.06808585724908943
1,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.08204362385736273
0,1,0.8582193621022743
0,0,0.022969420229694205
0,1,0.8582193621022743
0,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.08204362385736273
0,0,0.438475014599149
0,0,0.06808585724908943
0,0,0.26036314727639476
0,1,0.5622348646782191
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.2558139534883718
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.6134458824235405
0,0,0.13298872180451102
0,1,0.8582193621022743
0,0,0.33450278248245896
0,0,0.06808585724908943
0,0,0.20869774147044715
0,0,0.08204362385736273
0,0,0.022969420229694205
0,0,0.438475014599149
0,0,0.06808585724908943
1,1,0.5622348646782191
0,0,0.26036314727639476
1,1,0.8356879869851879
0,0,0.33450278248245896
0,0,0.08204362385736273
0,1,0.5751859840647967
0,0,0.26036314727639476
0,0,0.438475014599149
0,0,0.20869774147044715
0,1,0.5622348646782191
0,1,0.5751859840647967
0,0,0.06808585724908943
1,1,0.8582193621022743
1,0,0.08204362385736273
0,1,0.6134458824235405
0,1,0.6134458824235405
0,0,0.022969420229694205
0,0,0.08204362385736273
0,0,0.20869774147044715
0,1,0.8582193621022743
0,0,0.022969420229694205
0,1,0.5622348646782191
0,1,0.8582193621022743
0,0,0.08204362385736273
0,0,0.20869774147044715
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.5622348646782191
0,1,0.7528732713823854
0,0,0.022969420229694205
1,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.26036314727639476
1,0,0.26036314727639476
0,1,0.5759376650818807
0,0,0.06808585724908943
0,1,0.5622348646782191
0,0,0.20869774147044715
0,1,0.561891014074341
1,1,0.5751859840647967
0,1,0.7528732713823854
0,1,0.7528732713823854
0,1,0.5751859840647967
1,1,0.7528732713823854
0,0,0.022969420229694205
0,1,0.5622348646782191
0,1,0.5622348646782191
0,1,0.5751859840647967
1,1,0.7528732713823854
0,0,0.33450278248245896
0,1,0.5751859840647967
1,1,0.5759376650818807
0,0,0.06808585724908943
0,0,0.08204362385736273
0,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.7528732713823854
0,1,0.6134458824235405
1,1,0.8582193621022743
0,0,0.20869774147044715
0,1,0.7528732713823854
0,0,0.06808585724908943
0,0,0.022969420229694205
1,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.26036314727639476
0,1,0.6134458824235405
0,1,0.7528732713823854
0,1,0.6134458824235405
1,1,0.6134458824235405
0,0,0.022969420229694205
0,1,0.5751859840647967
0,0,0.13298872180451102
0,0,0.26036314727639476
0,1,0.6134458824235405
0,1,0.5622348646782191
1,1,0.5751859840647967
0,0,0.20869774147044715
0,1,0.5751859840647967
1,1,0.7528732713823854
0,0,0.022969420229694205
0,0,0.022969420229694205
0,0,0.33450278248245896
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.6134458824235405
0,1,0.605915855226897
0,0,0.022969420229694205
0,0,0.08204362385736273
0,0,0.06808585724908943
1,1,0.8582193621022743
0,0,0.08204362385736273
0,0,0.06808585724908943
0,1,0.6134458824235405
0,1,0.5751859840647967
0,1,0.6134458824235405
0,1,0.5751859840647967
1,1,0.7528732713823854
0,1,0.8356879869851879
0,0,0.20869774147044715
0,0,0.08204362385736273
0,1,0.5751859840647967
0,1,0.6134458824235405
0,0,0.1508903467666354
1,1,0.5759376650818807
1,1,0.5759376650818807
0,1,0.5622348646782191
0,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.11294426660100142
0,1,0.8356879869851879
0,1,0.8582193621022743
1,1,0.5751859840647967
1,1,0.8582193621022743
0,1,0.8582193621022743
0,1,0.5751859840647967
1,1,0.6134458824235405
0,0,0.022969420229694205
0,1,0.5622348646782191
1,1,0.7528732713823854
0,1,0.6134458824235405
1,1,0.5751859840647967
1,1,0.8582193621022743
0,0,0.26036314727639476
0,0,0.08204362385736273
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.26036314727639476
0,1,0.6134458824235405
0,0,0.06808585724908943
0,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.6134458824235405
0,0,0.022969420229694205
0,0,0.08204362385736273
0,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.5622348646782191
0,0,0.022969420229694205
0,0,0.11294426660100142
0,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.11294426660100142
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.26036314727639476
0,1,0.8582193621022743
0,0,0.26036314727639476
1,1,0.7528732713823854
0,1,0.5751859840647967
0,0,0.06808585724908943
0,1,0.5622348646782191
0,1,0.6134458824235405
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.08204362385736273
0,1,0.5751859840647967
1,0,0.11294426660100142
0,0,0.06808585724908943
0,0,0.08204362385736273
0,0,0.06808585724908943
0,1,0.6134458824235405
0,0,0.26036314727639476
0,0,0.06808585724908943
0,0,0.08204362385736273
0,1,0.605915855226897
1,0,0.06808585724908943
0,1,0.5622348646782191
1,1,0.7528732713823854
0,0,0.13298872180451102
0,0,0.08204362385736273
0,1,0.7528732713823854
0,0,0.08204362385736273
0,0,0.13298872180451102
0,1,0.6134458824235405
0,0,0.26036314727639476
1,1,0.5751859840647967
0,1,0.6134458824235405
0,0,0.022969420229694205
0,1,0.7528732713823854
0,0,0.26036314727639476
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.13298872180451102
0,0,0.022969420229694205
0,0,0.08204362385736273
0,1,0.5751859840647967
0,0,0.08204362385736273
0,0,0.13298872180451102
1,1,0.5751859840647967
0,0,0.08204362385736273
1,1,0.8582193621022743
0,0,0.06808585724908943
1,1,0.6134458824235405
0,1,0.8582193621022743
0,0,0.11294426660100142
0,0,0.11294426660100142
1,1,0.5622348646782191
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.26036314727639476
0,0,0.022969420229694205
0,1,0.7528732713823854
1,1,0.5207823960880184
0,0,0.022969420229694205
0,0,0.022969420229694205
0,0,0.022969420229694205
0,0,0.022969420229694205
0,1,0.5622348646782191
0,0,0.438475014599149
1,1,0.6134458824235405
0,0,0.26036314727639476
0,1,0.5751859840647967
1,1,0.8582193621022743
1,1,0.5622348646782191
1,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.8582193621022743
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.7528732713823854
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.6134458824235405
1,1,0.5759376650818807
0,0,0.33450278248245896
0,0,0.20869774147044715
1,1,0.8356879869851879
0,0,0.08204362385736273
0,0,0.20869774147044715
0,0,0.08204362385736273
1,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.26036314727639476
0,1,0.6134458824235405
1,1,0.5759376650818807
0,0,0.20869774147044715
0,0,0.13298872180451102
0,0,0.06808585724908943
0,0,0.26036314727639476
0,0,0.022969420229694205
0,1,0.5759376650818807
1,1,0.605915855226897
0,0,0.26036314727639476
0,0,0.1508903467666354
1,1,0.8582193621022743
0,0,0.06808585724908943
0,0,0.33450278248245896
0,1,0.8582193621022743
0,0,0.20869774147044715
0,1,0.5622348646782191
0,0,0.1508903467666354
0,1,0.5751859840647967
1,1,0.6134458824235405
0,1,0.7528732713823854
0,0,0.022969420229694205
0,1,0.7528732713823854
0,0,0.06808585724908943
0,0,0.26036314727639476
1,0,0.06808585724908943
0,0,0.20869774147044715
0,0,0.022969420229694205
0,1,0.6134458824235405
0,0,0.022969420229694205
0,0,0.26036314727639476
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.11294426660100142
0,1,0.5622348646782191
1,1,0.7528732713823854
0,0,0.08204362385736273
1,1,0.7528732713823854
0,0,0.022969420229694205
0,1,0.8356879869851879
0,1,0.6134458824235405
0,0,0.20869774147044715
0,1,0.5622348646782191
0,0,0.06808585724908943
0,1,0.5622348646782191
0,1,0.6134458824235405
0,1,0.5751859840647967
0,0,0.20869774147044715
0,0,0.26036314727639476
0,0,0.08204362385736273
0,0,0.1508903467666354
0,0,0.13298872180451102
1,1,0.5751859840647967
0,0,0.20869774147044715
0,0,0.022969420229694205
0,0,0.11294426660100142
0,0,0.06808585724908943
0,0,0.11294426660100142
1,1,0.7528732713823854
0,1,0.5759376650818807
0,0,0.13298872180451102
1,1,0.8582193621022743
0,0,0.08204362385736273
0,0,0.20869774147044715
0,0,0.20869774147044715
1,1,0.6134458824235405
0,1,0.5751859840647967
0,1,0.6134458824235405
0,0,0.20869774147044715
0,1,0.7528732713823854
0,1,0.5751859840647967
0,1,0.7528732713823854
0,0,0.20869774147044715
0,1,0.6134458824235405
0,0,0.022969420229694205
0,0,0.26036314727639476
0,0,0.26036314727639476
0,1,0.8582193621022743
0,1,0.6134458824235405
0,1,0.6134458824235405
0,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.13298872180451102
0,0,0.06808585724908943
0,0,0.26036314727639476
0,1,0.8582193621022743
1,1,0.8582193621022743
1,0,0.11294426660100142
1,1,0.8582193621022743
0,0,0.26036314727639476
1,1,0.5622348646782191
0,1,0.6134458824235405
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.06808585724908943
0,1,0.5622348646782191
0,0,0.06808585724908943
0,0,0.438475014599149
0,0,0.08204362385736273
1,1,0.8356879869851879
0,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.6134458824235405
0,0,0.20869774147044715
1,0,0.08204362385736273
0,0,0.1508903467666354
0,0,0.11294426660100142
0,0,0.20869774147044715
1,0,0.26036314727639476
0,0,0.20869774147044715
0,1,0.8582193621022743
0,0,0.06808585724908943
0,0,0.20869774147044715
0,0,0.022969420229694205
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.11294426660100142
1,1,0.605915855226897
0,0,0.26036314727639476
0,0,0.06808585724908943
0,0,0.13298872180451102
0,0,0.08204362385736273
0,0,0.06808585724908943
0,0,0.08204362385736273
0,0,0.20869774147044715
0,1,0.5622348646782191
0,1,0.6134458824235405
0,0,0.06808585724908943
0,1,0.7528732713823854
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.11294426660100142
0,1,0.8356879869851879
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.26036314727639476
0,0,0.08204362385736273
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.7528732713823854
0,0,0.06808585724908943
0,1,0.5751859840647967
0,0,0.26036314727639476
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.8582193621022743
0,1,0.5751859840647967
0,0,0.06808585724908943
0,0,0.33450278248245896
0,0,0.06808585724908943
0,0,0.08204362385736273
0,0,0.20869774147044715
1,1,0.5751859840647967
1,0,0.33450278248245896
0,1,0.5751859840647967
0,0,0.33450278248245896
0,0,0.06808585724908943
1,1,0.6134458824235405
0,0,0.438475014599149
0,0,0.06808585724908943
0,1,0.6134458824235405
0,1,0.5751859840647967
0,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.8435013262599488
0,0,0.08204362385736273
1,1,0.8356879869851879
0,0,0.06808585724908943
0,0,0.022969420229694205
0,1,0.5759376650818807
0,0,0.26036314727639476
0,0,0.022969420229694205
0,0,0.06808585724908943
0,1,0.7528732713823854
0,0,0.26036314727639476
0,1,0.8582193621022743
0,0,0.06808585724908943
0,0,0.06808585724908943
1,1,0.6134458824235405
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.5751859840647967
1,1,0.5622348646782191
0,0,0.06808585724908943
0,0,0.20869774147044715
0,0,0.08204362385736273
0,0,0.022969420229694205
0,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.26036314727639476
0,0,0.438475014599149
0,0,0.438475014599149
0,1,0.5751859840647967
0,1,0.7528732713823854
0,0,0.06808585724908943
0,0,0.06808585724908943
0,1,0.561891014074341
0,1,0.5759376650818807
0,1,0.5751859840647967
0,1,0.8582193621022743
0,1,0.5751859840647967
0,0,0.20869774147044715
0,0,0.022969420229694205
0,0,0.26036314727639476
0,0,0.06808585724908943
0,1,0.5751859840647967
0,1,0.7528732713823854
0,0,0.08204362385736273
0,0,0.11294426660100142
0,0,0.08204362385736273
0,0,0.022969420229694205
0,1,0.5751859840647967
0,1,0.7528732713823854
0,0,0.26036314727639476
0,0,0.26036314727639476
0,0,0.022969420229694205
0,0,0.26036314727639476
0,0,0.06808585724908943
1,1,0.8582193621022743
1,0,0.06808585724908943
0,0,0.06808585724908943
0,0,0.06808585724908943
1,1,0.7528732713823854
0,0,0.022969420229694205
1,1,0.8582193621022743
1,0,0.06808585724908943
0,1,0.5751859840647967
1,0,0.06808585724908943
0,1,0.6134458824235405
0,0,0.26036314727639476
0,0,0.20869774147044715
0,1,0.5751859840647967
0,0,0.26036314727639476
0,1,0.5751859840647967
0,0,0.022969420229694205
0,0,0.06808585724908943
1,1,0.8582193621022743
0,0,0.20869774147044715
0,0,0.11294426660100142
0,0,0.06808585724908943
1,1,0.8582193621022743
0,1,0.5759376650818807
0,0,0.26036314727639476
0,0,0.26036314727639476
0,0,0.06808585724908943
1,1,0.8356879869851879
0,1,0.5751859840647967
0,0,0.022969420229694205
0,1,0.5751859840647967
0,0,0.08204362385736273
1,1,0.605915855226897
1,0,0.20869774147044715
0,1,0.605915855226897
1,0,0.08204362385736273
1,1,0.8356879869851879
1,0,0.06808585724908943
0,1,0.5622348646782191
0,1,0.5751859840647967
0,0,0.06808585724908943
1,1,0.7528732713823854
0,1,0.5751859840647967
0,0,0.06808585724908943
1,0,0.06808585724908943
1,0,0.06808585724908943
0,0,0.06808585724908943
1,1,0.6134458824235405
0,0,0.1508903467666354
0,1,0.5751859840647967
0,0,0.022969420229694205
